Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1043 - 9;1606269001;"Grabfunde der Urnenfelderku... / Bernd C. Oesterwind ; Klaus Schäfer (Andernacher Beiträge ; 9)";"Andernacher Beiträge ; 9";
P 1043a;1606049001;"Caesar am Mittelrhein : Begleitheft zur Sonderausstellung im Stadtmuseum Andernach vom 7. Juni bis 1. September 1996. (Andernacher Beiträge ; 12)";"Andernacher Beiträge ; 12";
P 1044;1588360001;"Mogk, Eugen: Zur Bewertung der Snorra-Edda als religionsgeschichtliche und mythologische Quelle des nordgermanischen Heidentums (Berichte über die Verhandlun... ; 84,2)";"Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse ; 84,2";
P 1045;8689003;"Beneke, Arnold: Die Elberichsburg  : das Römerlager in Soest ; die planvollen römischen Angriffe zur Ausbeutung Süd-Westfalens und ihre Abwehr / von A. Beneke";;
P 1046;1588363001;Beneke, Arnold: Siegfried ist Armin! / von A. Beneke;;
P 1047;1588366001;"Jacob, Karl Hermann: Die altsteinzeitliche Fundstelle Markkleeberg bei Leipzig / Karl Hermann Jacob (Veröffentlichungen des städt... ; 5)";"Veröffentlichungen des städtischen Museums für Völkerkunde zu Leipzig ; 5";
P 1047b;1588367001;Jacob, Karl Hermann: Zur Prähistorie Nordwest-Sachsens : Übersicht über die vorgeschichtlichen Perioden und deren wichtigsten Vertreter in der Leipzig-Hallischen Gegend / Karl Hermann Jacob;;
P 1048;712204002;Mielert, Fritz: Deutsches Ahnengut im Westfalenland / von Fritz Mielert;;
P 1049;203165002;"Beneke, Arnold: Siegfried und Alberich : neue Tatsachen zur Geschichte der Frühzeit ; die Römer als Zwerge der deutschen Sage ; der urkundliche Beweis v. J. 1612 ; [mit einer Karte der westfälischen Zwergenburgen]...";;
P 1050 - 1;1588391001;"Bronzezeitliche Lanzenspitzen Norddeutschlands und Skandinaviens 1. Jacob-Friesen, Gernot : Text. - 1967. - XI, 422 S. (Veröffentlichungen der urgeschichtlichen Sammlun... ; 17,1)";"Veröffentlichungen der urgeschichtlichen Sammlungen des Landesmuseums zu Hannover ; 17,1";
P 1050 - 2;1588392001;"Bronzezeitliche Lanzenspitzen Norddeutschlands und Skandinaviens 2. Jacob-Friesen, Gernot : Tafelteil. - 1967. - 187 Taf., 16 Kt., 2 Tab. (Veröffentlichungen der urgeschichtlichen Sammlun... ; 17,2)";"Veröffentlichungen der urgeschichtlichen Sammlungen des Landesmuseums zu Hannover ; 17,2";
P 1051;1588393001;"Farbregd, Oddmunn: Pilefunn frå Oppdalsfjella = Arrow finds from the Mountains of Oppdal, Sør-Trøndelag, Norway / av Oddmunn Farbregd - [Ms vervi... (Det Kongelige Norske Vidensk... ; 5)";"Det Kongelige Norske Videnskabers Selskab / Museet : Miscellanea [Gunneria]; 5";
P 1052;1588394001;"Bakka, Egil: Arktisk og nordisk i bronsealderen i Nordskandinavia / av Egil Bakka (Det Kong... ; 25)(Gunneria ; 25)";"Det Kongelige Norske Videnskabers Selskab / Museet : Miscellanea ; 25";82-7126-094-4
P 1053;1588412001;"Møllenhus, Kristen R.: Mesolitiske boplasser på Møre and Trøndelagskysten = Mesolithic sites on the coast of Møre and Trøndelag - [Ms vervi... (Gunneria ; 27)";Gunneria , 27 ;
P 1054;1588413001;"Sognnes, Kalle: Arkeologiske modeller for Vestladets vikingtid = Archaeological mo-dels for Viking period West Norway / Kalle Sognnes (Gunneria ; 34)";"Gunneria ; 34";
P 1055;1589764001;"Marstrander, Lyder: Inntrøndelag i romertid : gravfunn og bosetning / Lyder Marstrander (Gunneria ; 43)";"Gunneria ; 43";82-7126-346-3
P 1056;1589773001;"Wik, Birgitta: Tunanlegget på Tjøtta : en økonomisk og demografisk miljøstudie = The courtyard settlement on Tjøtta / Birgitta Wik (Gunneria ; 44)";"Gunneria ; 44";82-7126-347-1
P 1057 - 1;1589849001;"Bergkunsten i Stjørdal 1. Sognnes, Kalle : Helleristningar og busetjing. - 1983. - 104 S. (Gunneria ; 45)";"Gunneria ; 45";82-7126-357-8
P 1057 - 2;1589853001;"Bergkunsten i Stjørdal 2. Sognnes, Kalle : Typologi og kronologi i nedre Stjørdal. - 1987. - 112 S. : Kt. (Gunneria ; 56)";"Gunneria;  56";82-7126-417-6
P 1057 - 3;1589856001;"Bergkunsten i Stjørdal 3. Hegraristningane. - 1990. - 164 S. : graph. Darst., Kt. (Gunneria ; 62)";"Gunneria ; 62";82-7126-453-2
P 1058;1589811001;"Bakka, Egil: Bronsealderristningane på Bogge i Romsdal / Egil Bakka (Gunneria ; 57)";"Gunneria ; 57";82-7126-420-6
P 1059;1589812001;"Die Altsteinzeitfunde aus dem Leinetal bei Hannover / von K.H. Jacob-Friesen ; mit e. geolog. Beitr. von Fritz Hamm (Veröffentlichungen der Urges... ; 10)";"Veröffentlichungen der Urgeschichtlichen Sammlungen des Landesmuseums zu Hannover ; 10";
P 1060;406896001;"Jacob-Friesen, Karl Hermann: Grundfragen der Urgeschichtsforschung : Stand und Kritik der Forschung über Rassen, Völker und Kulturen in urgeschichtlicher... (Veröffentlichungen der Urges... ; 1)";"Veröffentlichungen der Urgeschichtlichen Abteilung des Provinzial-Museums zu Hannover ; 1";
P 1061;406962001;Jacob-Friesen, Karl Hermann: Einführung in Niedersachsens Urgeschichte / von K. H. Jacob-Friesen;;
P 1061ab - 1;1588416001;"Einführung in Niedersachsens Urgeschichte 1. Steinzeit. - 1959. - VII, 204, 25 S. : Ill. (Veröffentlichungen der urgeschichtlichen Sammlun... ; 15,1)";"Veröffentlichungen der urgeschichtlichen Sammlungen des Landesmuseums zu Hannover ; 15,1";
P 1061ab - 2;1588417001;"Einführung in Niedersachsens Urgeschichte 2. Bronzezeit. - 4., bedeutend erw. Aufl. - 1963. - VII S., S. 205 - 388, [14] S. : zahlr. Ill., graph. Darst., Kt. (Veröffentlichungen der urgeschichtlichen Sammlun... ; 15,2)";"Veröffentlichungen der urgeschichtlichen Sammlungen des Landesmuseums zu Hannover ; 15,2";
P 1061ab - 3;1588418001;"Einführung in Niedersachsens Urgeschichte 3. Eisenzeit. - 1974. - X S., S. 389 - 747 : Ill., graph. Darst., Kt. (Veröffentlichungen der Urgeschichtlichen Sammlun... ; 15,3)";"Veröffentlichungen der Urgeschichtlichen Sammlung des Landesmuseums zu Hannover ; 15,3";
P 1062;1589817001;"Sognnes, Kalle: Iron age arrow-heads from Hordaland, Norway : testing a classification system / Kalle Sognnes (Gunneria ; 60)";"Gunneria ; 60";
P 1063;1589822001;"Bjartmann Bjerck, Hein: Forskningsstyrt kulturminne... / Hein Bjartmann Bjerck (Gunneria ; 61)";"Gunneria ; 61";82-7126-442-7
P 1064 - 1;1589832001;"Sentrum-periferi 1. Volume 1. - 1-282 S. (Gunneria ; 64)";"Gunneria ; 64";
P 1064 - 2;1589834001;"Sentrum-periferi 2. Volume 2. - S. 287 - 455 (Gunneria ; 64)";"Gunneria ; 64";
P 1065;1589841001;"Medicus curat, natura sanat : Heilkunde und Heilkulte am römischen Limes ; Begleitheft zur Dokumentation der römischen Vergangenheit beim und im Kreiskrankenhaus Öhringen";;3-929055-26-0
P 1066;1589872001;"Borst, Otto: Alltagsleben im Mittelalter : mit zeitgenössischen Abbildungen / Otto Borst - 1. Aufl. (Insel-Taschenbuch ; 513)";"Insel-Taschenbuch ; 513";3-458-32213-2
P 1067;1589874001;Tuchman, Barbara Wertheim: Der ferne Spiegel : Das dramatische 14. Jahrhundert / Barbara Wertheim Tuchman - Sonderaus...;;
P 1068;127222002;"Schmid, Peter: Siedlung und Wirtschaft im frühen Mittelalter an der südlichen Nordseeküste / Peter Schmid (Vorträge der Oldenburgischen... ; 9)";"Vorträge der Oldenburgischen Landschaft ; 9";3-87358-156-6
P 1069;1589876001;"Behre, Karl-Ernst: Meeresspiegelbewegungen... / Karl-Ernst Behre (Vorträge der Oldenburgischen... ; 17)";"Vorträge der Oldenburgischen Landschaft ; 17";3-87358-283-X
P 1070;1589877001;"The early church in Wales and the West : Recent work in early Christian archaeology, history and place-names (Oxbow monograph ; 16)";"Oxbow monograph ; 16";0-946897-37-9
P 1071;1589882001;"Sveinbjarnardóttir, Gudrún: Farm abandonment in medieval and post-medieval Iceland : an interdisciplinary study / by Gudrun Sveinbjarnardóttir (Oxbow monograph ; 17)";"Oxbow monograph ; 17";0-946897-28-X
P 1072;1589883001;"Romano-British cavemen : cave use in Roman Britain / ed. by K. Branigan ... (Oxbow monograph ; 19)";"Oxbow monograph ; 19";0-946897-43-3
P 1073;1589886001;Jacobsen, Werner: Der Klosterplan von St. Gallen und die karolingische Architektur : Entwicklung und Wandel von Form und Bedeutung im fränkischen Kirchenbau zwischen 751 und 840;;3-87157-139-3
P 1074b;;"Jacobsen, Lis: Evje-stenen og Alstad-stenen / Lis Jacobsen (Norske oldfunn ; 6)";;
P 1074 - 1;1589892001;Danmarks runeindskrifter 1. Jacobsen, Lis...  : Textbd.. - 1942. - XV S., 1118 Sp.;;
P 1074 - 2;1589895001;Danmarks runeindskrifter 2. Jacobsen, Lis...  : Atlas. - 450 S. : nur Ill.;;
P 1074 - 3;1589897001;Danmarks runeindskrifter 3. Jacobsen, Lis...  : Registerbd.. - 106 Sp.;;
P 1074 - 4;1589898001;Danmarks runeindskrifter 4. Jacobsen, Lis...  : Zusammenfassung. - 1942. - 76 Sp.;;
;1590122001;;"Norske oldfunn ; 6";
P 1075;1590124001;"Jacquat, Christiane: Les plantes de l'âge du Bronze : catalogue des fruits et graines / Christiane Jacquat (Hauteriv... ; 1)(Archéologie... ; 7)";"Hauterive-Champréveyres ; 1";
P 1075b;1590125001;"Jacquat, Christiane: Les plantes de l'âge du Bronze : contribution à l'histoire de l'environnement et de l'alimentation / Christiane Jacquat (Hauteriv... ; 2)(Archéologie... ; 8)";"Hauterive-Champréveyres ; 2";
P 1076 - 1;1590127001;Early Celtic Art 1. Text. - 1969. - XIII, 242 S.;;
P 1076 - 2;1590129001;Early Celtic Art 2. Plates. - 1969. - 279 S. : nur Ill.;;
P 1076k;1590131001;"Jadranska obala u protohistoriji : kulturni i etnicki problemi ; simpozij odrÏzan u Dubrovniku od 19. do 23.X.1972 / red. odbor: V. Mirosavljevic";;
P 1077;1590132001;"Jänecke, Wilhelm: Die ursprüngliche Gestalt des Tropaion von Adamklissi / von Wilhelm Jänecke (Sitzungsberichte der Heidelb... ; ...)";"Sitzungsberichte der Heidelberger Akademie der Wissenschaften, Philosophisch-Historische Klasse ; 1919,20";
P 1078;1590133001;"Carver, Martin: Arguments in stone : archaeological research and the European town in the first millennium / by M. O. H. Carver (Oxbow mo... ; 29)(The Dalr... ; 1990)";"Oxbow monograph ; 29";0-946897-57-3
P 1079;1590400001;"Jaguttis-Emden, Martin: Zur Präzision archäologisch... / Martin Jaguttis-Emden (Archaeologica venatoria ; 4)";"Archaeologica Venatoria ; 4";3-921618-02-9
P 1080;1590137001;"The trireme project : operational experience 1987 - 90 ; lessons learnt / ed. by. Timothy Shaw. With ... contrib. by John... (Oxbow monograph ; 31)";"Oxbow monograph ; 31";0-946897-58-1
P 1081;1590141001;"Mahler, Fred ; Ring, Edgar: Geschichte im Untergrund : 5 Jahre Stadtarchäologie in Uelzen / Fred Mahler ; Edgar Ring (Uelzener Beiträge ; 12)";"Uelzener Beiträge ; 12";3-929864-00-2
P 1082;16742004;"Kroeschell, Karl: Stadtgründung und Weichbildrecht in Westfalen / Karl Kroeschell (Schriften der Historischen K... ; 3)";"Schriften der Historischen Kommission für Westfalen ; 3";
P 1083;1590144001;"Jahn, Martin: Die Abgrenzung von Kulturgruppen und Völkern in der Vorgeschichte : [vorgetragen in d. Sitzung vom 19. März 1951] (Berichte über die Verhandlun... ; 99,3)";"Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse ; 99,3";
P 1084;1590168001;Köhn, H.: Der Essener Münsterschatz / H. Köhn;;
P 1085;1590170001;"Echo : Beiträge zur Archäologie des mediterranen und alpinen Raumes ; Johannes B. Trentini zum 80. Geburtstag / hrsg. von Brinn... (Innsbrucker Beiträge zur Kul... ; 27)";"Innsbrucker Beiträge zur Kulturwissenschaft ; 27";3-85124-146-0
P 1086;406965001;Allgemeine Vorgeschichte unter besonderer Berücksichtigung Deutschlands 1.  - 1948. - 88 S. : graph.Darst., Kt.;;
P 1087 - 1;1590352001;Nearchos 1. Beiträge vom 25. Internationalen Hafnerei-Symposium in Lienz, Osttirol 1992. - 1993. - 376 S. : Ill., graph. Darst., Kt.;;3-900773-04-1
P 1087 - 2;1590354001;Nearchos 2. Stadler, Harald...  : Ausgrabungen in Kirchdorf in Tirol. - 1994. - 256 S.: Ill.;;3-900773-07-6
P 1087 - 3;1590358001;Nearchos 3. Flaschberg : Archäologie und Geschichte einer mittelalterlichen Burganlage bei Oberdrauburg in Kärnten. - 1995. - 392 S. : Ill., graph. Darst., Kt.;;3-900773-08-4
P 1088 - 1;1590679001;Nearchos 1. Stadler, Harald : Zur Geschichte von Langkampfen im Spiegel der archäologischen Funde : Beiheft 1. - 1993. - 64 S. : zahlr. Ill., Kt.;;3-900773-06-8
P 1088 - 2;1590680001;Nearchos 2. Zanesco, Alexander : Archäologische und historische Untersuchungen zur Haslauer Sensenschmiede in Hopfgarten im Brixental, Nordtirol : Beiheft 2. - 1995. - 86 S. : Ill., graph. Darst., Kt.;;3-900773-11-4
P 1089;1590172001;"Shoesmith, R.: Excavations at Chepstow : 1973 - 1974 / R. Shoesmith (Cambrian archaeological mono... ; 4)";"Cambrian archaeological monographs ; 4";0-947846-02-6
P 1090;1590174001;Miscellanea archaeologica Thaddaeo Malinowski dedicata / quae Franciscus Roznowski redigendum curavit;;83-85599-20-7
P 1091;1590178001;"Jahn, Ulrich: Die deutschen Opferbräuche bei Ackerbau und Viehzucht : ein Beitrag zur deutschen Mythologie und Alterthumskunde (Germanistische Abhandlungen ; 3)";"Germanistische Abhandlungen ; 3";
P 1092 - 1;100663002;"Jörn,Erhard; Jörn, Rudolf. Das Meisterlied von Goslar.1. Teil (775 - 1125). - 1992. - 430 S.";;3-7848-4042-6
P 1093;1590181001;"Jörn, Erhard ; Jörn, Rudolf: Heinricus senior de... / von Erhard Jörn ; Rudolf Jörn (Wiedaer Hefte ; 2)";"Wiedaer Hefte ; 2";
P 1094;1590183001;Herrmann, Carl: Vor- und Frühgeschichte von Naumburg a.S. und Umgegend / Carl Herrmann;;
P 1095 - 1;1590371001;Das erste Jahrtausend 1. Textband 1. - 2. Aufl. - 1963. - 566 S. : Ill., Kt.;;
P 1095 - 2;1590372001;Das erste Jahrtausend 2. Tafelband. - 1. Aufl. - 1962. - XXXV, 448, 104 S. : überwiegend Ill.;;
P 1095 - 3;1590374001;Das erste Jahrtausend 3. Textband 2. - 1. Aufl. - 1964. - S. 567 - 1144 : Ill., graph. Darst., Kt.;;
P 1096 - 1;1590187001;Small finds from Ulpia Traiana Sarmizegetusa 1.  - 1994.;;
P 1097;1590188001;"Terug naar de bron : Kruishoutem archeologisch doorgelicht / red. Frank Vermeulen ... Auteurs Kurt Braeckman ... (Archeologische Inventaris Vl... ; 2)";"Archeologische Inventaris Vlaanderen : Buitengewone reeks ; 2";
P 1098;1590191001;"Crombé, Philippe ; Van Der Haegen, Guy: Het midden-paleolithicum in Noordwestelijk Belgie / Philippe Crombé ; Guy van der Haegen (Archeologische inventaris Vl... ; 3)";"Archeologische inventaris Vlaanderen : Buitengewone reeks ; 3";
P 1099;1590194001;"Neumayer, Heino: Merowingerzeitliche Grabfunde des Mittelrheingebietes zwischen Nahe- und Moselmündung / Heino Neumayer (Archäologische Schriften des... ; 2)";"Archäologische Schriften des Instituts für Vor- und Frühgeschichte der Johannes-Gutenberg-Universität Mainz ; 2";3-928957-01-5
P 1100;1590195001;Jalmain, Daniel: Archéologie aérienne en Île-de-France : Beauce, Brie, Champagne / Daniel Jalmain;;
P 1101;1590367001;"Römerzeitliche Gräber... / hrsg. von Manuela Struck (Archäologische Schriften des... ; 3)";"Archäologische Schriften des Instituts für Vor- und Frühgeschichte der Johannes-Gutenberg-Universität Mainz ; 3";3-928957-02-3
P 1102 - 1;1590379001;Végétation et climat des Pyrénées méditerranéennes depuis quinze mille ans 1. Texte. - 141 S. ;;
P 1102 - 2;1590380001;Végétation et climat des Pyrénées méditerranéennes depuis quinze mille ans 2. Planches.;;
P 1103;1590382001;"Hanel, Eva: Die merowingischen Altertümer von Kärlich und Umgebung  : (Verbandsgem. Weißenthurm, Kr. Mayen-Koblenz) / von Eva Hanel (Archäologische Schriften des... ; 4)";"Archäologische Schriften des Instituts für Vor- und Frühgeschichte der Johannes-Gutenberg-Universität Mainz ;  4";3-928957-03-1
P 1104;1590383001;"Jamar, J. T. J.: Heerlen, de Romeinse thermen / J. T. J. Jamar (Archeologische monumenten in... ; 9)";"Archeologische monumenten in Nederland ; 9";90-6255-093-2
P 1105 - 1;1590934001;"Roman military diplomas 1. 1954 - 1977. - 1978. - 118 S. (Occasional publication ; 2)";"Occasional publication ; 2";0-905853-06-7
P 1105 - 2;1590937001;"Roman military diplomas 2. 1978 - 1984. - 1978. - XIII, 231 S. : Ill. (Occasional publication ; 9)";"Occasional publication ; 9";0-905853-16-4
P 1105 - 3;1590938001;"Roman military diplomas 3. 1985 - 1993. - 1994. - S. 233 - 362 :  Ill. (Occasional publication ; 14)";"Occasional publication ; 14";0-905853-33-4
P 1106;1590389001;The later Roman Empire today : papers given in honour of Professor John Mann, 23 May 1992 / [ed. by D. F. Clark ...];;0-905853-32-6
P 1107;1590393001;"Jankowska, Dobrochna: Kultura pucharów lejkowatych na Pomorzu srodkowym : Grupa lupawska / Dobrochna Jankowska (Seria Archeologia ; 17)";"Seria Archeologia ; 17";
P 1108;1590394001;"Berg, Axel von: Ur- und Frühgeschichte an Mittelrhein und Mosel : Ein Überblick / Axel von Berg (Archäologie an Mittelrhein u... ; 5)";"Archäologie an Mittelrhein und Mosel ; 5";
P 1109;1590397001;"Wegner, Hans-Helmut: Archäologie in Koblenz / Hans-Helmut Wegner (Archäologie an Mittelrhein u... ; 6)";"Archäologie an Mittelrhein und Mosel ; 6";
P 1110;1590399001;"Fehr, Horst: Roemervilla : Führer durch die Ausgrabungen am Silberberg Bad Neuenahr-Ahrweiler / Horst Fehr (Archäologie an Mittelrhein u... ; 7)";"Archäologie an Mittelrhein und Mosel ; 7";3-929645-01-7
P 1111;1590412001;"Berg, Axel von: Archäologie im Luftbild an Mittelrhein und Mosel / Axel von Berg (Archäologie an Mittelrhein u... ; 9)";"Archäologie an Mittelrhein und Mosel ; 9";3-929645-01-9
P 1112;1590415001;"Jankuhn, Herbert: Die Ausgrabungen in Haithabu (1937 - 1939) : vorläufiger Grabungsbericht / Herbert Jankuhn (Deutsches Ahnenerbe ; 3)";"Deutsches Ahnenerbe ; 3";
P 1112b;1590418001;Archäologie und Geschichte 1. Beiträge zur siedlungsarchäologischen Forschung. - 1976.;;
P 1112c;1590420001;"Jankuhn, Herbert: Die vorgeschichtliche Besiedlung des Kieler Raumes / Herbert Jankuhn (Heimat Kiel , Neue Kieler He... ; 4)";Heimat Kiel , Neue Kieler Heimatkunde Heft  , 4;
P 1112d;214267002;Jankuhn, Herbert: Denkmäler der Vorzeit zwischen Nord- und Ostsee : Kulturströmungen und Völkerbewegungen im alten Norden / von Herbert Jankuhn;;
P 1112e;1590426001;Jankuhn, Herbert: Einführung in die Siedlungsarchäologie / Herbert Jankuhn (De-Gruyter-Studienbuch);De-Gruyter-Studienbuch;3-11-004752-7
P 1112f;1590429001;Jankuhn, Herbert: Haithabu : eine germanische Stadt der Frühzeit / von Herbert Jankuhn - 2., erw....;;
P 1112fb;1590431001;Jankuhn, Herbert: Haithabu : Ein Handelsplatz der Wikingerzeit / Herbert Jankuhn - 8. neubea...;;3-529-01813-9
P 1112g;214268002;Jankuhn, Herbert: Haithabu : ein Handelsplatz der Wikingerzeit / von Herbert Jankuhn - 3. völlig...;;
P 1112ga;1590435001;"Jankuhn, Herbert: Typen und Funktionen vor- und frühwikingerzeitlicher Handelsplätze im Ostseegebiet / Herbert Jankuhn (Sitzungsberichte / Österreic... ; ...)";"Sitzungsberichte / Österreichische Akademie der Wissenschaften : Philos.-Histor. Klasse ; 273,5";3-205-03658-1
P 1112gd;1590436001;"Jankuhn, Herbert: Archäologische Bemerkungen zur Glaubwürdigkeit des Tacitus in der Germania / von Herbert Jankuhn (Nachrichten der Akademie der... ; ...)";"Nachrichten der Akademie der Wissenschaften in Göttingen, Philologisch-Historische Klasse ; 1966,10";
P 1112ge;1590438001;"Jankuhn, Herbert: Archaeologische Beobachtungen zu Tier- und Menschenopfern bei den Germanen in der römischen Kaiserzeit / Herbert Jankuhn (Nachrichten der Akademie der... ; ...)";"Nachrichten der Akademie der Wissenschaften in Göttingen, Philologisch-Historische Klasse ; 1967,6";
P 1112gf;1590441001;"Jankuhn, Herbert: Spuren von Anthropophagie in der Capitulatio de partibus Saxoniae? / Herbert Jankuhn (Nachrichten der Akademie der... ; ...)";"Nachrichten der Akademie der Wissenschaften in Göttingen, Philologisch-Historische Klasse ; 1968,3";
